technischer Schlüssel;Objektnummer;Bezirk;Ortsteil;Art der Grünanlage;Name der Grünanlage;Namenszusatz der Grünanlage;Baujahr;letztes Sanierungsjahr;Größe in m² (Kataster);Widmung;Nummer des Planungsraumes;Name Planungsraum;anrechenbar Grünflächenversorgung
00008100:001c92ca;14GA03;Lichtenberg;Alt-Hohenschönhausen;Grünanlage;Strausberger Platz / Grünanlage;-;-;-;2623;gewidmet;11020514;Große-Leege-Straße;0
00008100:001c9319;13GA05;Lichtenberg;Alt-Hohenschönhausen;Grünanlage;Konrad-Wolf-Str.21-22 / Manetstr. 84-86;-;-;-;1529;gewidmet;11020513;Orankesee;0
00008100:001c96c0;18GA11;Lichtenberg;Lichtenberg;Grünanlage;Park Herzberge / Allee der Kosmonauten 16 ;-;-;-;127617;gewidmet;11030720;Herzbergstraße;1
00008100:001c948e;18GA10;Lichtenberg;Lichtenberg;Grünanlage;Grenzgraben westlich Zentralfriedhof;-;-;-;10182;gewidmet;11030720;Herzbergstraße;1
00008100:001c969a;18GA18;Lichtenberg;Lichtenberg;Grünanlage;Siegfriedstr. / Rheinhardsbrunner Str.;Regenrückhaltebecken;-;-;15711;gewidmet;11030720;Herzbergstraße;1
00008100:001c9346;07GA04;Lichtenberg;Neu-Hohenschönhausen;Grünanlage;Quartierspark Neubrandenbg. Str./Grün;-;-;-;25042;gewidmet;11010207;Wartenberg Nord;1
00008100:001c93fc;01GA05;Lichtenberg;Malchow;Grünanlage;Wartenberger Weg südlich Hechtgraben;-;-;-;13;gewidmet;11010101;Dorf Malchow;-
00008100:001c943a;01GA11;Lichtenberg;Malchow;Grünanlage;Malchow Dorfstr. 36-38;-;-;-;806;gewidmet;11010101;Dorf Malchow;1
00008100:001c9402;01GA14;Lichtenberg;Malchow;Grünanlage;Pachtfläche Dorfstr. 35 / Nat.Stat. Malchow - hinterer Teil;-;-;-;5680;-;11010101;Dorf Malchow;1
00008100:001c9325;02GA23;Lichtenberg;Malchow;Grünanlage;"KGA ""Mageretenhöhe-Nord"" / Grünfläche bis";Stadtbezirksgrenze;-;-;21183;gewidmet;11010102;Dorf Wartenberg;1
00008100:001991e3;286;Marzahn-Hellersdorf;Marzahn;Grünanlage;Poelchaustraße - nördlich;Grünzug am Siedlungsgebiet;1986;-;10323.8;gewidmet;10010310;Alt-Marzahn;1
00008100:001c94b4;25GA03;Lichtenberg;Friedrichsfelde;Grünanlage;Rosenfelder Ring / Alt Friedrichsfelde hinter;Löwenberger Str. 2-4;-;-;4164;gewidmet;11041022;Rosenfelder Ring;1
00008100:001c9412;17GA03;Lichtenberg;Fennpfuhl;Grünanlage;Otto-Marquardt-Str. 6-8;-;-;-;821;gewidmet;11030617;Hohenschönhausener Straße;0
00008100:001c96af;22GA02;Lichtenberg;Lichtenberg;Grünanlage;Frankfurter Allee / westlich Gürtelstr.;-;-;1986;3692;gewidmet;11030824;Frankfurter Allee Süd;0
00008100:001c94d9;31GA05;Lichtenberg;Karlshorst;Grünanlage;Treskowallee / Rheinpfalzallee, 1181;-;-;-;517;gewidmet;11051331;Karlshorst Nord;0
00008100:001c968f;02GA05;Lichtenberg;Wartenberg;Grünanlage;Birkholzer Weg / Straße 2;-;-;-;3355;gewidmet;11010102;Dorf Wartenberg;0
